1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────────────────────────────────────┐
│Was ON -style=max -trains=tree -fns=on│
└──────────────────────────────────────┘
</pre>",Code->Output
¯1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">  
¯1
  
</pre>",Code->Output
1.5<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">   
1.5
   
</pre>",Code->Output
0j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">   
0J4
   
</pre>",Code->Output
3j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">   
3J4
   
</pre>",Code->Output
4j0<br/> <br/><br/>What does the code output?,"<pre class=""language-APL""> 
4
 
</pre>",Code->Output
¯5j¯6<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">     
¯5J¯6
     
</pre>",Code->Output
2 3 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│2 3 1│
└~────┘
</pre>",Code->Output
2 ¯3 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────┐
│2 ¯3 1│
└~─────┘
</pre>",Code->Output
0j4 ¯5j¯6<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────────┐
│0J4 ¯5J¯6│
└~────────┘
</pre>",Code->Output
1 2 3 4 (1 2)<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→──────────────┐
│         ┌→──┐ │
│ 1 2 3 4 │1 2│ │
│         └~──┘ │
└∊──────────────┘
</pre>",Code->Output
(1 2)(3 4)<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────────────┐
│ ┌→──┐ ┌→──┐ │
│ │1 2│ │3 4│ │
│ └~──┘ └~──┘ │
└∊────────────┘
</pre>",Code->Output
(1 2)(3 4)5<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→──────────────┐
│ ┌→──┐ ┌→──┐   │
│ │1 2│ │3 4│ 5 │
│ └~──┘ └~──┘   │
└∊──────────────┘
</pre>",Code->Output
"⍝ This is a comment and doesn't do anything
<br/>1 2 3 ⍝ This is a comment after some code<br/> <br/><br/>What does the code output?","<pre class=""language-APL"">┌→────┐
│1 2 3│
└~────┘
</pre>",Code->Output
- 4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">  
¯4
  
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
- ¯4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL""> 
4
 
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
- 4 2 0 ¯3 ¯5<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→──────────┐
│¯4 ¯2 0 3 5│
└~──────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
¯4 2 0 ¯3 ¯5<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→───────────┐
│¯4 2 0 ¯3 ¯5│
└~───────────┘
</pre>",Code->Output
3-2<br/> <br/><br/>What does the code output?,"<pre class=""language-APL""> 
1
 
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
3 2 1 - 4 5 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→──────┐
│¯1 ¯3 0│
└~──────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
3 2 1 - 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│2 1 0│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
1 - 3 2 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→──────┐
│¯2 ¯1 0│
└~──────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>",Code->Output
+ 1.2<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">   
1.2
   
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
+ ¯5j¯6<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">    
¯5J6
    
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
+ 1.2 0j4 ¯5j¯6<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────────────┐
│1.2 0J¯4 ¯5J6│
└~────────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
3+2<br/> <br/><br/>What does the code output?,"<pre class=""language-APL""> 
5
 
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
3 2 1 + 4 5 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│7 7 2│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
3 2 1 + 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│4 3 2│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
1 + 3 2 1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│4 3 2│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>",Code->Output
|3 ¯3 3j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│3 3 5│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>",Code->Output
2 10 2 | 7 13 8<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→────┐
│1 3 0│
└~────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>",Code->Output
2 10 ¯2.5 | 7 ¯13 8<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────┐
│1 7 ¯2│
└~─────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>",Code->Output
÷ 3 ¯2 3j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→───────────────────────────┐
│0.3333333333 ¯0.5 0.12J¯0.16│
└~───────────────────────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>",Code->Output
3÷2<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">   
1.5
   
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>",Code->Output
3÷2 2.5 ¯1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────────┐
│1.5 1.2 ¯3│
└~─────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>",Code->Output
3 2 1÷2 2.5 ¯1<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────────┐
│1.5 0.8 ¯1│
└~─────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>",Code->Output
× 3.1 ¯2 0 3j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">┌→─────────────┐
│1 ¯1 0 0.6J0.8│
└~─────────────┘
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to ×</a>",Code->Output
3j4÷(|3j4)<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">       
0.6J0.8
       
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>",Code->Output
÷∘|⍨3j4<br/> <br/><br/>What does the code output?,"<pre class=""language-APL"">       
0.6J0.8
       
</pre> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Jot.htm'>Take me to ∘</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Dieresis Tilde.htm'>Take me to ⍨</a>",Code->Output
